lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,21253,33352,41418,0,1,650
0,0,0,0,0,0,21221,33016,41322,0,0,655
0,0,0,0,0,0,21173,33032,41306,0,0,660
0,0,0,0,0,0,21173,33096,41354,0,0,665
0,0,0,0,0,0,21173,33208,41354,0,0,670
0,0,0,0,0,0,21189,33304,41450,0,1,675
0,0,0,0,0,0,21157,33192,41450,0,0,680
0,0,0,0,0,0,21141,33096,41482,0,0,685
0,0,0,0,0,0,21141,33112,41450,0,0,690
0,0,0,0,0,0,21125,32936,41178,0,0,695
0,0,0,0,0,0,21109,33288,41418,0,1,700
0,0,0,0,0,0,21077,33128,41386,0,0,705
0,0,0,0,0,0,21093,32984,41274,0,0,710
0,0,0,0,0,0,16900,32519,41834,0,1,723
0,0,0,0,0,0,24934,33880,41354,0,0,725
0,0,0,0,0,0,21461,33224,41338,0,0,730
0,0,0,0,0,0,21237,33064,41274,0,0,735
0,0,0,0,0,0,21157,33512,41594,0,0,740
0,0,0,0,0,0,21269,33640,41530,0,1,745
0,0,0,0,0,0,21141,33112,41386,0,0,750
0,0,0,0,0,0,21093,33048,41290,0,0,755
0,0,0,0,0,0,21077,33080,41386,0,0,760
0,0,0,0,0,0,21157,33864,41834,0,0,765
0,0,0,0,0,0,21205,33304,41546,0,1,770
0,0,0,0,0,0,21173,33176,41434,0,0,775
0,0,0,0,0,0,21093,33096,41450,0,0,780
0,0,0,0,0,0,21061,32888,41194,0,0,785
0,0,0,0,0,0,21093,33352,41530,0,1,790
0,0,0,0,0,0,21077,33240,41482,0,0,795
0,0,0,0,0,0,21093,33208,41466,0,0,800
0,0,0,0,0,0,21093,32904,41194,0,0,805
0,0,0,0,0,0,16788,32375,41802,0,1,818
0,0,0,0,0,0,24950,33800,41322,0,0,820
0,0,0,0,0,0,21477,33272,41258,0,0,825
0,0,0,0,0,0,21269,33640,41578,0,1,830
0,0,0,0,0,0,21173,33176,41418,0,0,835
0,0,0,0,0,0,21093,33128,41370,0,0,840
0,0,0,0,0,0,21093,32904,41082,0,0,845
0,0,0,0,0,0,21045,33288,41418,0,1,850
0,0,0,0,0,0,21061,33256,41386,0,0,855
0,0,0,0,0,0,21061,33176,41450,0,0,860
0,0,0,0,0,0,21061,32968,41290,0,0,865
0,0,0,0,0,0,21061,33144,41482,0,1,870
0,0,0,0,0,0,21061,33096,41386,0,0,875
0,0,0,0,0,0,21045,33192,41402,0,0,880
0,0,0,0,0,0,21109,33608,41882,0,0,885
0,0,0,0,0,0,21013,33224,41450,0,1,890
0,0,0,0,0,0,21125,33096,41386,0,0,895
0,0,0,0,0,0,21045,33128,41418,0,0,900
0,0,0,0,0,0,16772,32471,41850,0,1,913
0,0,0,0,0,0,24918,33960,41386,0,0,915
0,0,0,0,0,0,21413,33096,41242,0,0,920
0,0,0,0,0,0,21173,33256,41450,0,1,925
0,0,0,0,0,0,21109,33032,41322,0,0,930
0,0,0,0,0,0,21093,33064,41354,0,0,935
0,0,0,0,0,0,21125,33832,41866,0,1,940
0,0,0,0,0,0,21141,33176,41418,0,0,945
0,0,0,0,0,0,21029,33224,41418,0,0,950
0,0,0,0,0,0,21013,32968,41162,0,0,955
0,0,0,0,0,0,21013,33272,41594,0,1,960
0,0,0,0,0,0,21077,32888,41402,0,0,965
0,0,0,0,0,0,21013,33160,41450,0,0,970
0,0,0,0,0,0,21093,33384,41466,0,1,975
0,0,0,0,0,0,21013,33144,41514,0,0,980
0,0,0,0,0,0,20997,33160,41434,0,0,985
0,0,0,0,0,0,21061,33720,41642,0,0,990
0,0,0,0,0,0,21029,33256,41530,0,1,995
0,0,0,0,0,0,16804,32663,41962,0,1,1008
0,0,0,0,0,0,24870,33864,41418,0,0,1010
0,0,0,0,0,0,21349,33432,41514,0,0,1015
0,0,0,0,0,0,21157,33256,41450,0,0,1020
0,0,0,0,0,0,21109,33400,41434,0,1,1025
0,0,0,0,0,0,21077,33032,41418,0,0,1030
0,0,0,0,0,0,21013,33032,41418,0,0,1035
0,0,0,0,0,0,21109,34280,42154,0,1,1040
0,0,0,0,0,0,21109,33160,41466,0,0,1045
0,0,0,0,0,0,21093,33240,41514,0,0,1050
0,0,0,0,0,0,21061,33624,41722,0,0,1055
0,0,0,0,0,0,21077,33208,41514,0,1,1060
0,0,0,0,0,0,20997,33112,41466,0,0,1065
0,0,0,0,0,0,20965,32535,41386,0,0,1070
0,0,0,0,0,0,20997,33320,41546,0,1,1075
0,0,0,0,0,0,21013,33224,41498,0,0,1080
0,0,0,0,0,0,20949,33016,41226,0,0,1085
0,0,0,0,0,0,20965,33320,41562,0,1,1090
0,0,0,0,0,0,21013,33256,41578,0,0,1095
0,0,0,0,0,0,16692,32263,41962,0,1,1108
0,0,0,0,0,0,24870,33848,41450,0,0,1110
0,0,0,0,0,0,21333,33704,41674,0,0,1115
0,0,0,0,0,0,21205,33352,41546,0,1,1120
0,0,0,0,0,0,21093,33256,41482,0,0,1125
0,0,0,0,0,0,21029,33240,41530,0,0,1130
0,0,0,0,0,0,21077,33448,41546,0,1,1135
0,0,0,0,0,0,21061,33240,41610,0,0,1140
0,0,0,0,0,0,20997,33160,41482,0,0,1145
0,0,0,0,0,0,21077,34088,42090,0,1,1150
0,0,0,0,0,0,21045,33256,41610,0,0,1155
0,0,0,0,0,0,20933,33192,41578,0,0,1160
0,0,0,0,0,0,20949,32535,41290,0,0,1165
0,0,0,0,0,0,20901,33192,41530,0,1,1170
0,0,0,0,0,0,20949,33192,41514,0,0,1175
0,0,0,0,0,0,20917,33176,41306,0,0,1180
0,0,0,0,0,0,20917,33384,41578,0,1,1185
0,0,0,0,0,0,21013,33192,41514,0,0,1190
0,0,0,0,0,0,16580,32343,41898,0,1,1203
0,0,0,0,0,0,24822,33912,41482,0,0,1205
0,0,0,0,0,0,21253,33320,41450,0,0,1210
0,0,0,0,0,0,21077,33288,41418,1,0,1215
0,0,0,0,0,0,20965,33176,41546,0,1,1220
0,0,0,0,0,0,20917,33144,41482,0,0,1225
0,0,0,0,0,0,20917,33560,41738,0,0,1230
0,0,0,0,0,0,21013,33224,41466,0,1,1235
0,0,0,0,0,0,20885,33144,41546,0,0,1240
0,0,0,0,0,0,20917,33000,41434,0,0,1245
0,0,0,0,0,0,20933,34296,42666,0,1,1250
0,0,0,0,0,0,21109,33144,41498,0,0,1255
0,0,0,0,0,0,20869,33128,41466,0,0,1260
0,0,0,0,0,0,20869,33000,41210,0,0,1265
