lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,13203,28935,39113,0,0,5
0,0,0,0,0,0,20677,30375,39481,0,0,10
0,0,0,0,0,0,20645,30279,39417,0,0,15
0,0,0,0,0,0,20501,30103,39321,0,0,20
0,0,0,0,0,0,20356,30023,39305,0,0,25
0,0,0,0,0,0,20260,29415,38953,0,0,30
0,0,0,0,0,0,20164,30007,39305,0,1,35
0,0,0,0,0,0,20180,29943,39241,0,0,40
0,0,0,0,0,0,20116,29927,39257,0,0,45
0,0,0,0,0,0,20068,29863,39273,0,0,50
0,0,0,0,0,0,20036,29783,39177,0,0,55
0,0,0,0,0,0,20020,29847,39145,0,0,60
0,0,0,0,0,0,19892,29639,39097,0,0,65
0,0,0,0,0,0,19940,30071,39337,0,1,70
0,0,0,0,0,0,19972,29751,39225,0,0,75
0,0,0,0,0,0,19924,29767,39177,0,0,80
0,0,0,0,0,0,19892,29783,39225,0,0,85
0,0,0,0,0,0,19876,29783,39177,0,0,90
0,0,0,0,0,0,19828,29703,39209,0,0,95
0,0,0,0,0,0,17572,30983,38985,0,2,139
0,0,0,0,0,0,30087,32888,38729,0,0,140
0,0,0,0,0,0,21541,30391,39481,0,0,145
0,0,0,0,0,0,20725,30103,39369,0,0,150
0,0,0,0,0,0,20340,29911,39273,0,0,155
0,0,0,0,0,0,20132,29927,39161,0,0,160
0,0,0,0,0,0,19940,29799,39161,0,0,165
0,0,0,0,0,0,19860,29767,39161,0,0,170
0,0,0,0,0,0,19860,30487,39673,0,1,175
0,0,0,0,0,0,19892,29719,39193,0,0,180
0,0,0,0,0,0,19828,29671,39225,0,0,185
0,0,0,0,0,0,19796,29719,39161,0,0,190
0,0,0,0,0,0,19716,29719,39145,0,0,195
0,0,0,0,0,0,19684,29607,39161,0,0,200
0,0,0,0,0,0,19700,30119,39497,0,0,205
0,0,0,0,0,0,19828,31319,40073,0,1,210
0,0,0,0,0,0,19876,29783,39193,0,0,215
0,0,0,0,0,0,19732,29671,39193,0,0,220
0,0,0,0,0,0,15187,29223,39241,0,0,239
0,0,0,0,0,0,26358,31095,39033,0,0,240
0,0,0,0,0,0,20645,29607,38905,0,0,245
0,0,0,0,0,0,20068,29959,39273,0,1,250
0,0,0,0,0,0,19892,29719,39129,0,0,255
0,0,0,0,0,0,19780,29623,39129,0,0,260
0,0,0,0,0,0,19684,29703,39113,0,0,265
